1005k  219.156.49.109:9999
1002k  42.237.178.253:4000
1000k  222.138.213.183:9999
991k  222.137.229.201:2000
985k  42.237.181.37:4000
985k  42.237.176.169:4000
985k  219.156.53.14:9999
980k  42.237.178.9:4000
976k  221.14.197.184:4022
574k  222.142.118.115:4000
559k  125.46.143.8:2000
444k  ik6.iptv8.net:8888
336k  ik6.iptv8.net:888
